,Crop_Year,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,yield_per_area,fert_per_area,pest_per_area,rain_x_fert,year_from,Yield
count,19577.0,19577.0,19577.0,19577.0,19577.0,19577.0,19577.0,19577.0,19577.0,19577.0,19577.0,19577.0
mean,2009.1170250804516,180935.90458635133,16529971.278847627,1438.4351408253153,24238.685698611054,49122.598821922154,84.32043626559738,0.137115311334783,0.27426827399499415,26290565.762532268,12.117025080451551,80.41134421833156
std,6.501103673631952,734798.4788117084,263805332.87810063,816.4920997161552,95200.09738714443,213865.36574129577,926.2135760922813,0.02620342013093805,0.07333373917953745,113471611.95685706,6.501103673631952,880.7942588726919
min,1997.0,0.8,1.0,301.3,0.09467,0.09,0.0023303569368496343,0.09466999996852035,0.09,38.832967,0.0,0.0
25%,2004.0,1441.0,1448.0,940.7,194.047,370.3,0.6,0.10833999999999999,0.22000000000000003,268535.907614,7.0,0.604347826
50%,2010.0,9516.0,14082.0,1247.6,1260.8388,2474.55,1.0416666666666667,0.14449,0.27,1660899.3380000002,13.0,1.037272727
75%,2015.0,75994.0,124460.0,1643.7,10138.10304,20219.52,2.481206581983105,0.15790999998411592,0.33,12373862.024379998,18.0,2.41
max,2020.0,50808100.0,6326000000.0,6552.7,4835406.877,15750511.0,21105.0,0.19361000000000003,0.38000000000000006,8959525402.393301,23.0,21105.0
